created_at,tree_id,block_id,the_geom,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trnk_wire,trnk_light,trnk_other,brnch_ligh,brnch_shoe,brnch_othe,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
08/29/2015,187157,106198,POINT (-73.98141749335669 40.77439842302124),8,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,4orMore,Helpful,Damage,NYC Parks Staff,"RootOther,TrunkLights,BranchOther",No,No,Yes,No,Yes,No,No,No,Yes,101 WEST 67 STREET,10023,New York,107,1,Manhattan,6,67,27,MN14,Lincoln Square,1015300,New York,40.77439842,-73.98141749,989396.8227,221411.579864
08/23/2015,169498,312374,POINT (-73.82517265570065 40.76294903771926),20,0,OffsetFromCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,Volunteer,RootOther,No,No,Yes,No,No,No,No,No,No,37-001 BOWNE STREET,11354,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4086500,New York,40.76294904,-73.82517266,1032680.46612,217287.971642
08/23/2015,169502,312374,POINT (-73.82527600304773 40.76317714410162),12,0,OffsetFromCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,36-040 BOWNE STREET,11354,Flushing,407,4,Queens,20,40,16,QN22,Flushing,4086500,New York,40.76317714,-73.825276,1032651.67123,217371.021016
08/30/2015,189965,106510,POINT (-73.97144699878419 40.78700106476906),6,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,70 WEST 87 STREET,10024,New York,107,1,Manhattan,6,69,29,MN12,Upper West Side,1017300,New York,40.78700106,-73.971447,992156.867705,226003.891874
08/31/2015,192898,338054,POINT (-73.84664262832285 40.57660427358494),11,0,OnCurb,Alive,Fair,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,127-008 ROCKAWAY BEACH BOULEVARD,11694,Rockaway Park,414,4,Queens,32,23,15,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,4093401,New York,40.57660427,-73.84664263,1026851.74287,149386.218994
09/02/2015,197199,212085,POINT (-73.93879574424446 40.60781303466583),2,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2809 FILLMORE AVENUE,11229,Brooklyn,318,3,Brooklyn,46,59,22,BK44,Madison,3063800,New York,40.60781303,-73.93879574,1001244.23208,160725.007012
08/25/2015,174714,107789,POINT (-73.94615662642364 40.77467690443327),17,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,Volunteer,"Stones,BranchOther",Yes,No,No,No,No,No,No,No,Yes,529 EAST 85 STREET,10028,New York,108,1,Manhattan,5,76,28,MN32,Yorkville,1014401,New York,40.7746769,-73.94615663,999163.010844,221517.077357
08/27/2015,179401,230000,POINT (-73.96164402178572 40.62521011965995),5,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,1419 AVENUE J,11230,Brooklyn,314,3,Brooklyn,44,48,17,BK43,Midwood,3053000,New York,40.62521012,-73.96164402,994897.30809,167059.615406
08/26/2015,178933,345360,POINT (-73.90367236636735 40.70665528598066),14,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,1or2,Harmful,Damage,Volunteer,"Stones,BranchLights",Yes,No,No,No,No,No,Yes,No,No,2032 PALMETTO STREET,11385,Ridgewood,405,4,Queens,30,37,12,QN20,Ridgewood,4058900,New York,40.70665529,-73.90367237,1010957.13424,196744.743043
09/01/2015,194402,303543,POINT (-73.92929827972655 40.742643029205404),20,0,OnCurb,Alive,Fair,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,TreesCount Staff,Stones,Yes,No,No,No,No,No,No,No,No,45-031 36 STREET,11101,Long Island City,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4017900,New York,40.74264303,-73.92929828,1003841.68981,209849.413028
09/08/2015,208961,301776,POINT (-73.91778596562334 40.771944378287664),0,18,OffsetFromCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,24-050 29 STREET,11102,Astoria,401,4,Queens,22,36,12,QN72,Steinway,4012500,New York,40.77194438,-73.91778597,1007021.77137,220527.629533
08/30/2015,188573,224994,POINT (-73.99782723351213 40.64687002119889),13,0,OnCurb,Alive,Good,Ulmus parvifolia,Chinese elm,None,None,Damage,Volunteer,"Stones,RootOther,WiresRope,TrunkLights,BranchLights",Yes,No,Yes,Yes,Yes,No,Yes,No,No,3924 8 AVENUE,11232,Brooklyn,307,3,Brooklyn,38,51,17,BK34,Sunset Park East,3009000,New York,40.64687002,-73.99782723,984852.946617,174948.578302
